"NUMEROGIS"	"Genese"	"x1"	"x2"	"Genese-neu"	"ausgangssubstrat"	"Chemie-neu"	"passendste Genese"	"passendste Substratgruppe"	"bessersubstrat"	"bs2"	"chemie_gg_code"	"grund_fuer_substrat"	"grossgruppe"	"Lithologie"	"metamorphie"	"geomorphologie"	"Textur"	"Festgestein"
559	"Ca"	"CaSi"	"C"	"Sed"	"Si"	"S"	"HaS"	"Ha"	"x"		1		49	"Marmore"	1	"karbonatisches Festgestein"		1
560	"Si"	"SiX"	"B"	"Si"					"x"				49	"Serpentinite"	1	"silikatisches Festgestein"		1
561	"Si"	"SiIn"	"I"	"Si"					"x"				51	"Schiefer"	1	"silikatisches Festgestein"		1
562	"Si"	"SiSr"	"S"	"Si"	"Si"	"M"	"Ha"	"Ha"	"m"		3		50	"Gneise"	1	"silikatisches Festgestein"		1
563	"Si"	"SiSr"	"S"	"Si"	"Si"	"C"	"Ha"	"HaCa"			3		51	"Schiefer"	1	"silikatisches Festgestein"		1
564	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"		"m"		1		51	"Quarzite"	1	"silikatisches Festgestein"		1
565	"Si"	"SiBa"	"B"	"Si"	"Si"	"B"			"m"		2		51	"Amphibolite"	1	"silikatisches Festgestein"		1
566	"Si"	"SiBa"	"B"	"Si"	"Si"	"I"			"x"		1		51	"Amphibolite"	1	"silikatisches Festgestein"		1
567	"Si"	"SiSr"	"S"	"Si"	"Si"	"I"					1		51	"Gneise"	1	"silikatisches Festgestein"		1
568	"Org"			"OrgSub"	"Org"						5		1	"Moor rezent"		"Moorablagerung"		1
569	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
570	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
571	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
572	"Ca"	"CaS-"	"C"	"Sed"	"Si"				"x"			"Welchselfolgen"	51	"Marmore"	1	"karbonatisches Festgestein"		1
573	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
574	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
575	"Do"	"Do"	"K"	"KaDo"	"KaDo"	"K"					4		7	"Dolomite"		"karbonatisches Festgestein"		1
576	"Mo"			"Mo"	"Mo"				"x"	1			2	"Grundmoraene"		"Grundmoraene"	"Sand Silt"	
577	"Mo"			"Mo"	"Mo"				"x"	1			2	"Ausschmelzmoraene"		"Ausschmelzmoraene"		
578	"Kl"	"KlSi"	"I"	"Sed"	"Kl"	"I"					1		3	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
579	"Kl"	"KlSi"	"I"	"Sed"	"Kl"	"I"					1		3	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
580	"To U"			"OrgSub"	"Org"	"O"					5		1	"Moorablagerung"		"Moorablagerung"	"Ton Silt"	
581	"Mo"			"Mo"	"Mo"				"x"	1			2	"Moraene undifferenziert"		"Moraene undifferenziert"		
582	"Ki"			"Alluv"	"Ki"				"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"		
583	"Ki Sa"			"Alluv"	"Ki"				"x"	1			2	"Eisrandsedimente"		"Eisrandsedimente"		
584	"Si"	"SiX"			"Si"	"B"					2		49	"Metabasite"		"silikatisches Festgestein"		1
585	"Ki Sa"				"Ki"				"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Kies Sand"	
602	"Blockgletscher"				"Bl"				"x"	1			1	"Blockgletscher"		"Blockgletscher"		
603	"Mo"				"Mo"				"x"	1			1	"Moraene undifferenziert"		"Moraene undifferenziert"		
604	"Misch"				"Ki"				"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
605	"Blockgletscher"				"Bl"				"x"	1			1	"Blockgletscher"		"Blockgletscher"		
606	"Ki"				"Ki"				"x"	1			1	"Alluvialer Schwemmfaecher"		"Alluvialer Schwemmfaecher"		
607	"To Ki"				"Ki"				"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Ton Kies"	
608	"Kl"	"SiIn"	"I"		"Kl"	"I"					1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
609	"Si"	"SiIn"	"I"		"Si"	"B"					2		3	"Andesite"		"silikatisches Festgestein"		1
610	"U To"				"Ki"				"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	" Silt Ton"	
611	"Si"	"SiSr"	"S"		"Si"	"S"					1		3	"Vitrophyre"		"silikatisches Festgestein"		1
613	"Si"	"SiSr"	"S"		"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
614	"Si"	"SiSr"	"S"		"Si"	"S"					1		3	"Rhyolithe"		"silikatisches Festgestein"		1
615	"Sa To"				"Org"								1	"Moorablagerung"		"Moorablagerung"	"Sand Ton"	
616	"Do"	"Do"	"D"		"KaDo"	"K"					4		8	"Dolomite"		"karbonatisches Festgestein"		1
617	"Ki Sa"				"Ki"				"x"				2	"Eisrandsedimente"		"Eisrandsedimente"		
618	"Si"	"SiIn"	"I"		"Si"	"B"					2		3	"Andesite"		"silikatisches Festgestein"		1
619	"Kl"	"KlSi"	"I"		"Kl"	"S"					1		5	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
630	"Sa To"				"Ki"				"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Sand Ton"	
631	"Gletscher"				"H2O"								52	"Gletscher"		"Gletscher"		
632	"See"				"H2O"									"H2O"		"See"		
640	"Ki"				"Ki"				"x"	1			9	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Kies Schotter"	
641	"Kl"	"KlSi"	"I"		"Kl"	"S"	"KlS-"		"x"		1		3	"Vulkan. Konglomerate und Brekzien"		"silikatisches Sedimentgestein"		1
642	"Misch"				"Ki"				"x"	1			2	"gemischte Ablagerung"		"gemischte Ablagerung"		
643	"Sa"				"Ki"				"x"	1			2	"Lakustrine Ablagerung"		"Glaziolakustrine Ablagerung"	"Sand"	
644	"Si"	"SiIn"	"I"		"Si"	"B"					1		3	"Andesite"		"silikatisches Festgestein"		1
647	"Si"	"SiIn"	"I"		"Si"				"x"			"nur zwischenlagen"	49	"Schiefer"	1	"silikatisches Festgestein"		1
650	"Si"	"SiIn"	"I"		"Si"	"S"					1		50	"Gneise"	1	"silikatisches Festgestein"		1
652	"Si"	"SiX"	"B"		"Si"				"x"			"sind die wiklich an OF?"	49	"Amphibolite"	1	"silikatisches Festgestein"		1
653	"Ha"				"Ha"				"x"	1			2	"Hangschutt"		"Hangschutt"		
654	"Kl"	"KlM+"	"M"		"Kl"	"C"		"KlK+"			3		10	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
655	"Kl"	"KlKa"	"C"		"Kl"	"C"		"KlKa"			3		11	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
656	"Kl"	"KlK+"	"C"		"Kl"	"C"		"KlK+"			3		11	"Pelite, Siltite und Sandsteine"		"gemischtes Sedimentgestein"		1
658	"Si"	"SiBa"	"B"		"Si"	"B"					2		12	"Basalt"		"silikatisches Sedimentgestein"		1
659	"Do Ka"	"Do+"	"K"	"Kl"	"KaDo"	"C"		"KlK+"			3	"Einschaltungen?"	13	"Kalke"		"karbonatisches Festgestein"		1
